user_pseudo_id,day_0
70D2F634EB46DA3061AADBA078ADF7E9,2018-09-13
596FCBD95E3C6C24EC450B4BB7F12D18,2018-09-13
72AC12CE2E2F425A2546D18F14B0077A,2018-09-13
0F5D8942B1C96254F6B7E890DF1E614E,2018-09-13
A329F671CAD036858EA863966B6F2BA3,2018-09-13
FEC7A3B513FEFC162942BC23468AAFEC,2018-07-28
C04D8138266E1439C156ABE4E82F4706,2018-07-28
64DA91FB11E883E1DD4429309EAB9024,2018-07-28
B75DFBAE222A34CC424C816160F7B40C,2018-07-28
26C7AE02DC913BB2BD6A7B6C0F7F8AB2,2018-07-28
4B4901F73C458F5462AED0D68571D88E,2018-09-22
A4FA63A5EC567CDCF4B366FDF014713D,2018-09-22
0969A1FA5300A40F4CFA6AE5BD539DE4,2018-09-22
68F42B3EB9170AE9533D692860D5639E,2018-09-22
F1D798DDC9C7920F6395D39BB7AA238B,2018-09-22
5F221A89D8CA4217F46AEF4C5D9C925E,2018-09-04
B42A29EB4F4474E9381491C9F6B920CF,2018-09-04
2779422065F5685DFCBC3179B5E6E38F,2018-09-04
A83713EF270EA35A03A4784C0A3662A9,2018-07-20
40972A87661D837BA8B80C3EF122FDD9,2018-07-20
40B224DCDBE486DBB2D13E81B285589A,2018-07-20
48FFB36AFFB051EC56910335F81BB3C6,2018-07-20
0A66070B39FC63652BEB8B2993D75A5F,2018-07-20
F9231C977F262065AFA5F376C746E0ED,2018-09-25
46D808E730894AB0AC6E0F493B6FC864,2018-06-27
8ACCEA29DD561542D9AE209167BC9943,2018-06-27
022891093337BA8FAFC0E5B82B9C276D,2018-06-27
FAD835B2685732F929BD039038406EC9,2018-07-18
8FD6ED0CD6258782D10996A087AB9D66,2018-07-18
F7E62C26710316F40D421BB5904C9407,2018-07-18
7E719ACECED5B3D90F6D24E7CC6A2F57,2018-07-18
97380FCE77BAB6B251B50DDE4ABD8F8A,2018-09-05
66C0CEE58B84347037AC48E64B52C47F,2018-09-05
408354544760D27F10CCA7CF9B4E43D3,2018-09-05
A7B8DF486667B9B7B7745F809221B1FE,2018-09-05
210C3692734E251EEF4E952BC57DD998,2018-08-01
CD92711913D195448B5032F52C3318D2,2018-08-01
F916D30FAD36F1282F98AEA3D580BEBE,2018-08-01
9991D4763C564343D9B899E4BEA9D4F8,2018-08-01
0E5C7AF3CE1F55C53D363B5F87FC67BC,2018-10-01
06F1C673C13A88C11D6D9A650205B2E1,2018-10-01
3F364BA6DAAB9F399A47D66C32E06060,2018-10-01
209066E42054B4501C757D968E577E60,2018-10-01
92D4A861F6BC5DB5C9379563CC71E72E,2018-08-22
5D84066876D8650792B2DB37277D67C0,2018-08-22
382C4713DE77302013BE7C2A95950D2D,2018-07-13
9D850AC692F181FAF8041F7C565C42AD,2018-07-13
81918C20AA666AB97D0D4EA4DE5BFB6F,2018-08-19
8BC5986635846F60ED5D0E9F67E52CC8,2018-08-19
1124EFE951E4EE78CFFDDCB080C0E48A,2018-08-16
460DBC1808E6954E66FA4D5B1223B9BB,2018-08-20
DD0CB20147767F174CE7F130D2E66FF1,2018-08-17
2A43899555261D422AF07565EE51395E,2018-08-17
533E79DF88C5D3B27AB10A32F8185503,2018-08-21
841727B396264112EC75FEB26C57E25C,2018-08-21
5F1EC0B288E62069FF089762DCBE9177,2018-08-21
A94A9E429728010F5E5E415F5C49FBBD,2018-09-23
0152E8B6424291E4C874016393A2B7F8,2018-09-23
5EC3DE5586464BDF0309EDC67C8E984D,2018-09-27
2A976487633C93239B863581990F6584,2018-09-27
AE2481234246873FD177E4A420586B05,2018-09-27
6EE3CB7D6C073894B49F1AF081758A2E,2018-08-10
287443FC466C3CBF107AE8883DFD0883,2018-08-10
15738B2D71E595B2660489D8AC2FB07B,2018-08-10
8D86121A671969882C35F9E4C325EECE,2018-08-10
E3766F65834BCE7AA781B3B641314E82,2018-08-10
64E3BBB507EEFDE76364031EADF502F4,2018-09-15
9487188F3FC65328E1EA611CCA802AA6,2018-09-15
90C9C09D72EA28C4450E48E748E1EF35,2018-07-25
C33F7E58FAE9A599A1EF7D75BFCA58B4,2018-07-25
F1A4ACA5337DF6B0DAE14420BC457CE3,2018-07-25
504ED77548EDD05418C0C336DCDB64CE,2018-10-03
998741A047139BBB78D5330555923C03,2018-10-03
0987EB4A39426337A1C13A1E455C9F38,2018-10-03
