period,window_group,event_name,n_events,n_users
20180630,pre_window,level_end_quickplay,5941,572
20180630,pre_window,level_start,942,124
20180630,pre_window,level_retry,454,70
20180630,pre_window,screen_view,1725,1091
20180630,pre_window,post_score,2386,305
20180630,pre_window,ad_reward,27,13
20180630,in_window,session_start,71,37
20180630,in_window,level_reset_quickplay,120,7
20180630,pre_window,os_update,77,77
20180630,pre_window,level_complete,270,46
20180630,pre_window,level_fail,227,63
20180630,pre_window,level_up,269,45
20180630,pre_window,level_fail_quickplay,2157,355
20180630,in_window,level_start,96,15
20180630,pre_window,app_exception,9,8
20180630,pre_window,completed_5_levels,13,13
20180630,pre_window,level_reset_quickplay,1726,127
20180630,pre_window,challenge_a_friend,12,5
20180630,pre_window,app_remove,21,21
20180630,pre_window,app_update,47,47
20180630,pre_window,select_content,69,33
20180630,in_window,level_end,64,11
20180630,in_window,level_start_quickplay,367,24
20180630,in_window,level_end_quickplay,207,21
20180630,pre_window,firebase_campaign,8,8
20180630,in_window,screen_view,77,42
20180630,in_window,no_more_extra_steps,4,3
20180630,pre_window,level_reset,81,29
20180630,pre_window,level_complete_quickplay,240,26
20180629,pre_window,user_engagement,9810,424
20180629,in_window,level_fail_quickplay,144,26
20180629,in_window,level_up,123,25
20180629,pre_window,post_score,2064,301
20180629,pre_window,session_start,560,388
20180629,pre_window,level_reset_quickplay,592,61
20180629,pre_window,level_retry_quickplay,186,87
20180629,pre_window,level_complete_quickplay,1916,274
20180629,pre_window,level_end_quickplay,2900,306
20180629,pre_window,select_content,905,363
20180629,pre_window,screen_view,18186,418
20180629,pre_window,level_start_quickplay,3937,345
20180629,pre_window,level_fail_quickplay,984,163
20180629,pre_window,level_fail,61,25
20180629,in_window,post_score,203,41
20180629,in_window,user_engagement,1720,61
20180629,in_window,level_complete_quickplay,80,21
20180629,in_window,session_start,75,54
20180629,in_window,select_content,176,54
20180629,in_window,screen_view,2675,60
20180629,in_window,level_end_quickplay,224,30
20180629,in_window,level_fail,48,12
20180629,pre_window,level_retry,182,41
20180629,in_window,level_complete,90,17
20180629,in_window,level_retry,129,21
20180629,pre_window,level_start,296,57
20180629,in_window,level_start_quickplay,322,37
20180629,in_window,use_extra_steps,7,5
20180629,in_window,level_start,229,31
20180629,pre_window,os_update,35,35
20180629,pre_window,level_up,148,35
20180629,pre_window,spend_virtual_currency,53,20
20180629,pre_window,level_end,209,50
20180629,pre_window,app_exception,35,17
20180629,pre_window,app_update,20,20
20180629,pre_window,use_extra_steps,43,15
20180629,in_window,level_end,171,27
20180629,pre_window,challenge_a_friend,2,2
20180629,in_window,no_more_extra_steps,2,2
20180629,pre_window,level_complete,136,31
20180629,pre_window,app_remove,11,11
20180629,in_window,firebase_campaign,54,27
20180629,in_window,first_open,42,42
20180626,pre_window,use_extra_steps,80,33
20180626,pre_window,no_more_extra_steps,43,25
20180626,in_window,level_fail,22,6
20180626,pre_window,level_start_quickplay,7898,653
20180626,pre_window,post_score,2645,334
20180626,pre_window,level_retry,632,84
20180626,pre_window,level_complete,375,61
20180626,pre_window,level_fail_quickplay,2314,343
20180626,pre_window,screen_view,1718,1098
20180626,in_window,user_engagement,429,26
20180626,pre_window,session_start,1142,709
20180626,pre_window,level_retry_quickplay,581,124
20180626,pre_window,app_exception,9,9
20180626,pre_window,level_end_quickplay,5955,557
20180626,in_window,screen_view,30,27
20180626,in_window,level_retry,53,7
20180626,pre_window,level_end,905,113
20180626,pre_window,level_up,367,57
20180626,pre_window,level_fail,322,65
20180626,pre_window,user_engagement,20912,769
20180626,pre_window,level_reset,168,41
20180626,pre_window,level_reset_quickplay,1125,111
20180626,pre_window,level_start,1220,122
20180626,in_window,level_start,70,8
20180626,in_window,post_score,42,11
20180626,pre_window,os_update,68,68
20180626,pre_window,completed_5_levels,25,24
20180626,pre_window,app_update,44,44
20180626,pre_window,app_remove,21,21
20180626,pre_window,app_clear_data,1,1
20180626,pre_window,level_complete_quickplay,245,31
20180626,pre_window,in_app_purchase,1,1
20180626,pre_window,select_content,158,38
20180626,pre_window,firebase_campaign,23,18
20180626,in_window,os_update,2,2
20180621,pre_window,session_start,446,303
20180621,pre_window,post_score,1682,238
